Name,Link
"Maar, Dora",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=10865
"Mabuse, Jan",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=1352
"Mac Orlan, Pierre",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=14550
"MacArdell, James",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4771
"MacCoy, Guy",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4772
"MacDermott, David",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4773
"MacDermott, Diane Conard",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4774
"Macdonald-Wright, Stanton",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=14611
"Mace, Frank J.",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=7796
"MacEdwards, Barbara Chalmers",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=34901
"MacGilchrist, John",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=33736
"MacGowan, Clara",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=33737
"MacIver, Loren",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4775
"Mack, Harry Francis",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=33738
"Mack, Warren Bryan",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4776
MacKay,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=1502
"Macke, August",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=21663
"MacKenzie, Roderick D.",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=33739
"Mackenzie, Warren",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=33740
"Macklem, Leslie",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=7797
"Mackstauer, Fred",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4777
"Mackworth, H.",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=14770
"MacLaughlan, Donald Shaw",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4778
"MacLeod, Alexander Samuel",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4779
"MacLeod, William Douglas",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4780
"MacLise, Angus",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=10585
"MacMonnies, Frederick William",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=32740
"MacNab, Iaian",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=6599
"Macpherson, Marie R.",https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=35080
"Macpherson, Robert",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=13438
"Macret, Charles François Adrien",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=4781
"Mader, Louis",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=1504
"Madole, Russell",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=7798
"Maeda, Josaku",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=4782
"Maeght, Adrien",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=16691
"Maentel, Jacob",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=2640
"Maes, Nicolaes",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=1503
"Maes, Peter",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=4783
Maestro Giorgio,https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=2312
"Magafan, Ethel",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=33741
"Magafan, Jenne",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=5497
"Magalhaes, Aloísio",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=27342
"Maganza, Alessandro",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=15297
"Maganza, Giovanni Battista II",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=36747
"Maggio, John",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=4784
"Maggiotto, Domenico",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=21252
"Magnan, Domenico",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=11557
"Magnasco, Alessandro",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=1505
"Magnette, Edith",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=7799
"Magni, Pietro",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=27457
"Magnus, Charles",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=4786
"Magritte, René",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=2638
"Mahaffey, Mark",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=25705
"Maher, Julie",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=23505
"Mahl, Claire",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=33808
"Mahler, Julie",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=17572
"Maiano, Benedetto da",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=2021
"Maillard, Léon",https://web.archive.org/web/20121010195414/http://www.nga.gov/cgi-bin/tsearch?artistid=25681
"Mailliez, Yvonne",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=30980
"Maillol, Aristide",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=2163
"Maillol, Aristide-Joseph-Bonaventure",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=2163
"Mair, Johann Ulrich",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=24236
Mair von Landshut,https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=4788
